Flicknamn 2009;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2009.   ;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;
36;(46);Selma ;384;(322);Ida ;574;(639);15;(12)
37;(35);Thea ;368;(372);Inez ;229;(184);59;(70)
38;(34);Elvira ;365;(376);Ingrid;151;(172);84;(73)
39;(52);Lilly;358;(267);Iris;158;(150);83;(81)
40;(37);Lovisa;356;(362);Isabella;386;(395);34;(33)
41;(32);Tindra ;355;(402);Isabelle ;550;(596);19;(16)
42;(47);Lova ;345;(312);Jasmine;207;(222);63;(59)
43;(38);Nora;337;(361);Johanna ;122;(137);100;(88)
44;(50);Sofia;333;(281);Joline;171;(130);77;(90)
45;(51);Ester;332;(275);Josefin;189;(186);70;(68)
46;(36);Nathalie ;331;(369);Julia;741;(821);7;(3)
46;(49);Vera ;331;(297);Kajsa ;175;(164);75;(77)
48;(43);Tilde ;325;(335);Klara ;593;(662);13;(10)
49;(41);Tyra ;322;(347);Lea;269;(254);56;(55)
50;(40);Emelie;321;(351);Leia;205;(162);65;(78)
51;(39);Filippa ;316;(354);Lilly;358;(267);39;(52)
52;(41);Freja;312;(347);Lina ;161;(158);81;(79)
53;(56);Signe ;303;(247);Linn ;211;(220);60;(61)
54;(44);Tilda ;298;(332);Linnea;685;(718);8;(8)
55;(54);Siri ;281;(256);Lisa ;199;(219);68;(62)
56;(55);Lea;269;(254);Liv ;207;(186);63;(68)
57;(57);Stina ;255;(236);Livia ;146;(120);86;(95)
58;(58);Cornelia ;240;(229);Lova ;345;(312);42;(47)
59;(70);Inez ;229;(184);Lovisa;356;(362);40;(37)
60;(75);Edith;211;(167);Maja ;870;(850);2;(1)
60;(61);Linn ;211;(220);Malva;140;(95);90;(Ny)
62;(63);Mira ;210;(212);Maria;124;(118);96;(96)
63;(59);Jasmine;207;(222);Matilda ;479;(448);25;(28)
63;(68);Liv ;207;(186);Meja;386;(258);34;(53)
65;(78);Leia;205;(162);Melissa ;149;(138);85;(87)
66;(64);Emmy ;201;(202);Mira ;210;(212);62;(63)
67;(60);Frida ;200;(221);Miranda;123;(146);99;(84)
68;(62);Lisa ;199;(219);Moa ;509;(515);22;(21)
69;(96);Ellie;192;(118);Molly;625;(547);11;(18)
70;(68);Josefin;189;(186);My;143;(114);88;(Ny)
71;(79);Svea ;187;(158);Märta ;163;(140);79;(86)
72;(66);Rebecka ;186;(195);Nathalie ;331;(369);46;(36)
73;(66);Evelina;185;(195);Nellie ;616;(645);12;(11)
74;(71);Ronja;176;(178);Nicole ;139;(108);91;(Ny)
75;(77);Kajsa ;175;(164);Nora;337;(361);43;(38)
76;(72);Anna;172;(177);Nova ;466;(470);27;(25)
77;(90);Joline;171;(130);Olivia ;569;(495);17;(22)
78;(75);Elina ;164;(167);Rebecka ;186;(195);72;(66)
79;(93);Elise;163;(123);Ronja;176;(178);74;(71)
79;(86);Märta ;163;(140);Rut;124;(94);96;(Ny)
81;(79);Lina ;161;(158);Saga ;512;(469);21;(26)
82;(74);Hilda ;160;(169);Sara;459;(478);28;(23)
83;(81);Iris;158;(150);Selma ;384;(322);36;(46)
84;(73);Ingrid;151;(172);Signe ;303;(247);53;(56)
85;(87);Melissa ;149;(138);Siri ;281;(256);55;(54)
86;(95);Livia ;146;(120);Sofia;333;(281);44;(50)
87;(Ny);Vilda;145;(113);Sofie;143;(141);88;(85)
88;(Ny);My;143;(114);Stella ;403;(332);31;(44)
88;(85);Sofie;143;(141);Stina ;255;(236);57;(57)
90;(Ny);Malva;140;(95);Svea ;187;(158);71;(79)
91;(Ny);Nicole ;139;(108);Thea ;368;(372);37;(35)
92;(83);Victoria;138;(149);Tilda ;298;(332);54;(44)
93;(81);Fanny ;133;(150);Tilde ;325;(335);48;(43)
94;(Ny);Greta ;132;(95);Tindra ;355;(402);41;(32)
95;(89);Hedda;131;(135);Tuva ;398;(419);32;(31)
96;(92);Alexandra ;124;(128);Tyra ;322;(347);49;(41)
96;(96);Maria;124;(118);Vera ;331;(297);46;(49)
96;(Ny);Rut;124;(94);Victoria;138;(149);92;(83)
99;(84);Miranda;123;(146);Vilda;145;(113);87;(Ny)
100;(88);Johanna ;122;(137);Wilma;668;(703);9;(9)
