;;;;;;;;;;;;
Flicknamn 2020;;;;;;;;;;;;
Girls' names 2020;;;;;;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor under året.;;;;;;;;;;;;
Namnen redovisas med vanligaste stavningen, men samtliga stavningar ingår i redovisat antal.;;;;;;;;;;;;
The table shows the 100 most common first names given to girls during the year.;;;;;;;;;;;;
The most common form is given for each name, but the numbers include all alternative spellings.;;;;;;;;;;;;
;;;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;;;
Rankings;;;;;;Alphabetical order;;;;;;
;;;Antal;;;;Antal;;Rangordning;;;
 44;'('36);Nellie; 260;(310);;Ingrid; 193;(195); 66;'('67);;
 45;'('42);Emilia; 249;(289);;Iris; 320;(353); 33;'('28);;
 46;'('59);Leia; 247;(218);;Isabella; 194;(232); 65;'('55);;
 47;'('52);Meja; 246;(241);;Isabelle; 275;(322); 41;'('31);;
 48;'('53);Livia; 245;(240);;Jasmine; 136;(187); 93;'('72);;
 49;'('45);Elise; 244;(278);;Joline; 149;(141); 85;'('88);;
 50;'('47);Emma; 243;(266);;Julia; 432;(452); 25;'('23);;
 51;'('40);Elvira; 241;(297);;Julie; 174;(161); 73;'('80);;
 52;'('66);Rut; 236;(196);;Juni; 292;(301); 38;'('39);;
 52;'('61);Tyra; 236;(212);;Leah; 482;(438); 20;'('25);;
 54;'('49);Liv; 234;(245);;Leia; 247;(218); 46;'('59);;
 55;'('75);Cleo; 225;(178);;Lilly; 571;(561); 11;'('10);;
 55;'('57);Majken; 225;(222);;Linnea; 306;(297); 36;'('40);;
 57;'('64);Lovisa; 221;(200);;Liv; 234;(245); 54;'('49);;
 58;'('51);Thea; 212;(243);;Livia; 245;(240); 48;'('53);;
 59;'('69);Ronja; 211;(189);;Lo; 328;(244); 30;'('50);;
 60;'('56);Sally; 209;(227);;Lova; 296;(302); 37;'('38);;
 61;'('62);Elin; 208;(211);;Lovis; 147;(155); 86;'('82);;
 62;'('54);Tuva; 201;(237);;Lovisa; 221;(200); 57;'('64);;
 63;'('48);Lykke; 200;(253);;Luna; 351;(342); 27;'('30);;
 64;'('60);Hailey; 197;(215);;Lykke; 200;(253); 63;'('48);;
 65;'('55);Isabella; 194;(232);;Maja; 670;(618); 2;'('4);;
 66;'('67);Ingrid; 193;(195);;Majken; 225;(222); 55;'('57);;
 67;'('93);Bonnie; 191;(135);;Maria; 182;(221); 70;'('58);;
 68;'('63);Amelia; 184;(205);;Maryam; 138;(134); 91;'('94);;
 68;'('77);Hilma; 184;(171);;Matilda; 133;(133); 94;'('95);;
 70;'('69);Hanna; 182;(189);;Meja; 246;(241); 47;'('52);;
 70;'('58);Maria; 182;(221);;Melina; 178;(138); 72;'('92);;
 72;'('92);Melina; 178;(138);;Melissa; 161;(174); 79;'('76);;
 73;'('80);Julie; 174;(161);;Mila; 324;(313); 32;'('35);;
 74;'('89);Mira; 167;(139);;Millie; 122;(128); 100;'('98);;
 74;'('65);Märta; 167;(198);;Mira; 167;(139); 74;'('89);;
 76;'('89);Hilda; 165;(139);;Moa; 127;(139); 98;'('89);;
 77;'('67);Ida; 164;(195);;Molly; 342;(388); 28;'('27);;
 78;'('78);Hedvig; 162;(169);;Märta; 167;(198); 74;'('65);;
 79;'('76);Melissa; 161;(174);;Nellie; 260;(310); 44;'('36);;
 80;'('85);Cornelia; 160;(144);;Nora; 286;(322); 40;'('31);;
 81;'('74);Svea; 156;(181);;Nova; 325;(322); 31;'('31);;
 82;'('Ny/New);Zoe; 154;(121);;Olivia; 587;(645); 7;'('2);;
 83;'('Ny/New);Ilse; 152;(114);;Ronja; 211;(189); 59;'('69);;
 83;'('73);Stina; 152;(185);;Rut; 236;(196); 52;'('66);;
 85;'('88);Joline; 149;(141);;Saga; 509;(523); 19;'('14);;
 86;'('82);Lovis; 147;(155);;Sally; 209;(227); 60;'('56);;
 86;'('81);Tilde; 147;(156);;Sara; 310;(348); 35;'('29);;
 88;'('85);Elsie; 143;(144);;Selma; 578;(489); 8;'('20);;
 89;'('78);Filippa; 140;(169);;Signe; 554;(511); 12;'('17);;
 89;'('83);Siri; 140;(154);;Sigrid; 316;(288); 34;'('43);;
 91;'('85);Elina; 138;(144);;Siri; 140;(154); 89;'('83);;
 91;'('94);Maryam; 138;(134);;Sofia; 263;(303); 43;'('37);;
 93;'('72);Jasmine; 136;(187);;Stella; 480;(461); 21;'('22);;
 94;'('Ny/New);Belle; 133;(120);;Stina; 152;(185); 83;'('73);;
 94;'('84);Felicia; 133;(145);;Svea; 156;(181); 81;'('74);;
 94;'('95);Matilda; 133;(133);;Thea; 212;(243); 58;'('51);;
 97;'('69);Bianca; 130;(189);;Tilde; 147;(156); 86;'('81);;
 98;'('89);Moa; 127;(139);;Tuva; 201;(237); 62;'('54);;
 99;'('Ny/New);Ayla; 125;(100);;Tyra; 236;(212); 52;'('61);;
 100;'('100);Amanda; 122;(122);;Vera; 550;(607); 13;'('5);;
 100;'('Ny/New);Idun; 122;(119);;Wilma; 607;(574); 4;'('8);;
 100;'('98);Millie; 122;(128);;Zoe; 154;(121); 82;'('Ny/New);;
