Flicknamn 2015;;;;;;;;Innehåll;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2015.   ;;;;;;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;;;;;;
;;;Antal bärare;;;;Antal bärare;;Rangordning;;;;;;
50;(44);Meja;270;(309);;Leia;206;(221);61;(62);;;;;
51;(55);Lova ;267;(257);;Lilly;613;(646);6;(5);;;;;
52;(43);Moa ;263;(320);;Linn ;131;(164);98;(82);;;;;
53;(54);Liv;260;(261);;Linnea;510;(594);16;(9);;;;;
54;(49);Matilda ;258;(282);;Liv;260;(261);53;(54);;;;;
55;(48);Siri;256;(285);;Livia ;231;(207);59;(65);;;;;
56;(57);Tilde ;247;(250);;Lo;162;(108);83;(Ny);;;;;
57;(59);Thea ;240;(232);;Lova ;267;(257);51;(55);;;;;
58;(52);Lovisa;238;(274);;Lovis;151;(140);87;(92);;;;;
59;(65);Livia ;231;(207);;Lovisa;238;(274);58;(52);;;;;
60;(56);Hanna ;225;(251);;Luna;137;(130);92;(99);;;;;
61;(78);Celine;206;(169);;Lykke;185;(167);71;(79);;;;;
61;(62);Leia;206;(221);;Maja;674;(732);3;(3);;;;;
63;(77);Majken ;204;(172);;Majken ;204;(172);63;(77);;;;;
64;(68);Greta;194;(184);;Maria;164;(149);80;(89);;;;;
64;(87);Ronja ;194;(155);;Mariam;135;(109);96;(Ny);;;;;
66;(66);Jasmine;192;(190);;Matilda ;258;(282);54;(49);;;;;
67;(60);Emelie ;190;(228);;Meja;270;(309);50;(44);;;;;
68;(68);Stina ;189;(184);;Melissa;186;(224);70;(61);;;;;
69;(67);Nathalie;187;(188);;Mira ;157;(160);86;(85);;;;;
70;(61);Melissa;186;(224);;Moa ;263;(320);52;(43);;;;;
71;(79);Lykke;185;(167);;Molly ;546;(579);12;(10);;;;;
72;(74);Märta ;184;(175);;My ;144;(162);91;(84);;;;;
72;(72);Svea ;184;(178);;Märta ;184;(175);72;(74);;;;;
74;(64);Ingrid;183;(220);;Nathalie;187;(188);69;(67);;;;;
75;(79);Ellinor;180;(167);;Nellie;414;(453);28;(25);;;;;
75;(74);Tilda ;180;(175);;Nora;288;(294);42;(47);;;;;
77;(62);Cornelia ;171;(221);;Nova ;341;(399);34;(30);;;;;
78;(86);Rut;169;(159);;Novalie;160;(167);85;(79);;;;;
79;(72);Emmy ;166;(178);;Olivia;583;(626);7;(6);;;;;
80;(89);Maria;164;(149);;Ronja ;194;(155);64;(87);;;;;
80;(96);Sally;164;(134);;Rut;169;(159);78;(86);;;;;
82;(70);Joline;163;(182);;Saga;671;(504);4;(21);;;;;
83;(Ny);Lo;162;(108);;Sally;164;(134);80;(96);;;;;
83;(83);Tindra ;162;(163);;Sara;323;(349);38;(35);;;;;
85;(79);Novalie;160;(167);;Selma ;418;(389);26;(31);;;;;
86;(85);Mira ;157;(160);;Signe ;421;(427);25;(28);;;;;
87;(92);Lovis;151;(140);;Sigrid ;277;(281);48;(50);;;;;
88;(95);Amelia ;149;(136);;Siri;256;(285);55;(48);;;;;
89;(71);Filippa ;146;(181);;Sofia;342;(349);33;(35);;;;;
90;(Ny);Hedvig ;145;(112);;Stella ;477;(552);22;(14);;;;;
91;(84);My ;144;(162);;Stina ;189;(184);68;(68);;;;;
92;(99);Luna;137;(130);;Svea ;184;(178);72;(72);;;;;
93;(Ny);Bianca ;136;(120);;Thea ;240;(232);57;(59);;;;;
93;(91);Elina ;136;(142);;Tilda ;180;(175);75;(74);;;;;
93;(Ny);Julie;136;(106);;Tilde ;247;(250);56;(57);;;;;
96;(Ny);Mariam;135;(109);;Tindra ;162;(163);83;(83);;;;;
97;(76);Hilda ;132;(173);;Tuva ;295;(300);41;(46);;;;;
98;(88);Hilma ;131;(154);;Tyra ;306;(330);40;(39);;;;;
98;(82);Linn ;131;(164);;Vera ;447;(431);24;(27);;;;;
100;(100);Anna;130;(129);;Wilma;575;(576);9;(12);;;;;
