Flicknamn 2012;;;;;;;;Innehåll;;;;;;;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2012.   ;;;;;;;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;;;;;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;;;;;;;;
35;(42);Ellie;381;(342);Hilda ;160;(154);82;(86);;;;;;;
36;(28);Amanda ;375;(431);Ida ;452;(459);25;(24);;;;;;;
37;(36);Sara;370;(366);Ines;263;(291);54;(53);;;;;;;
38;(44);Tyra ;361;(333);Ingrid;205;(205);67;(65);;;;;;;
39;(32);Tuva ;360;(394);Iris ;188;(197);76;(68);;;;;;;
40;(34);Felicia ;351;(376);Isabella ;422;(389);28;(33);;;;;;;
41;(39);Matilda;348;(356);Isabelle ;570;(597);15;(13);;;;;;;
42;(35);Elvira ;346;(367);Jasmine;192;(196);73;(70);;;;;;;
43;(47);Leah;342;(321);Joline;176;(172);79;(79);;;;;;;
43;(49);Sofia;342;(310);Josefin;148;(163);86;(83);;;;;;;
45;(54);Siri ;335;(287);Julia;683;(723);3;(3);;;;;;;
46;(40);Hanna ;318;(348);Juni ;227;(193);60;(71);;;;;;;
47;(52);Lovisa;309;(299);Klara ;575;(567);13;(16);;;;;;;
48;(46);Lova ;299;(323);Leah;342;(321);43;(47);;;;;;;
49;(51);Nora ;290;(305);Leia;217;(215);62;(63);;;;;;;
50;(58);Edith;283;(248);Lilly ;516;(502);19;(21);;;;;;;
50;(45);Tilde ;283;(326);Lina ;138;(147);92;(89);;;;;;;
52;(50);Meja;281;(309);Linn ;175;(179);80;(76);;;;;;;
53;(43);Thea ;270;(341);Linnea;623;(720);8;(5);;;;;;;
54;(53);Ines;263;(291);Lisa ;193;(177);72;(77);;;;;;;
55;(59);Liv;243;(246);Liv;243;(246);55;(59);;;;;;;
56;(56);Emelie;241;(251);Livia ;189;(199);74;(66);;;;;;;
57;(55);Filippa;233;(273);Lova ;299;(323);48;(46);;;;;;;
57;(56);Nathalie ;233;(251);Lovisa;309;(299);47;(52);;;;;;;
59;(75);Elise;231;(180);Lykke;148;(124);86;(Ny);;;;;;;
60;(71);Juni ;227;(193);Maja ;670;(743);5;(2);;;;;;;
61;(61);Tilda ;218;(235);Majken ;181;(137);78;(94);;;;;;;
62;(63);Leia;217;(215);Maria;128;(126);97;(100);;;;;;;
62;(72);Melissa ;217;(186);Matilda;348;(356);41;(39);;;;;;;
64;(62);Stina ;215;(228);Meja;281;(309);52;(50);;;;;;;
65;(89);Sigrid ;209;(147);Melissa ;217;(186);62;(72);;;;;;;
66;(78);Svea;206;(176);Minna ;189;(311);74;(48);;;;;;;
67;(65);Ingrid;205;(205);Mira ;160;(164);82;(82);;;;;;;
67;(73);My ;205;(185);Moa;427;(462);27;(23);;;;;;;
69;(80);Ronja ;201;(170);Molly ;606;(675);9;(8);;;;;;;
70;(64);Märta ;199;(212);My ;205;(185);67;(73);;;;;;;
71;(60);Tindra ;196;(238);Märta ;199;(212);70;(64);;;;;;;
72;(77);Lisa ;193;(177);Nathalie ;233;(251);57;(56);;;;;;;
73;(70);Jasmine;192;(196);Nellie;575;(633);13;(11);;;;;;;
74;(66);Livia ;189;(199);Nora ;290;(305);49;(51);;;;;;;
74;(48);Minna ;189;(311);Nova ;428;(474);26;(22);;;;;;;
76;(68);Cornelia ;188;(197);Novalie;126;(121);100;(Ny);;;;;;;
76;(68);Iris ;188;(197);Olivia ;550;(578);16;(14);;;;;;;
78;(94);Majken ;181;(137);Ronja ;201;(170);69;(80);;;;;;;
79;(79);Joline;176;(172);Rut;127;(126);99;(100);;;;;;;
80;(76);Linn ;175;(179);Saga ;489;(436);22;(27);;;;;;;
81;(67);Emmy ;173;(198);Sara;370;(366);37;(36);;;;;;;
82;(86);Hilda ;160;(154);Selma;383;(365);34;(37);;;;;;;
82;(82);Mira ;160;(164);Signe ;393;(362);31;(38);;;;;;;
84;(81);Elina ;151;(165);Sigrid ;209;(147);65;(89);;;;;;;
85;(92);Greta ;150;(140);Siri ;335;(287);45;(54);;;;;;;
86;(83);Josefin;148;(163);Sofia;342;(310);43;(49);;;;;;;
86;(Ny);Lykke;148;(124);Sofie;132;(135);95;(96);;;;;;;
88;(88);Vilda;146;(148);Stella ;512;(459);20;(24);;;;;;;
89;(84);Anna;141;(161);Stina ;215;(228);64;(62);;;;;;;
90;(99);Hedvig ;140;(128);Svea;206;(176);66;(78);;;;;;;
91;(73);Tove;139;(185);Thea ;270;(341);53;(43);;;;;;;
92;(89);Lina ;138;(147);Tilda ;218;(235);61;(61);;;;;;;
93;(97);Annie ;135;(133);Tilde ;283;(326);50;(45);;;;;;;
94;(94);Hedda;134;(137);Tindra ;196;(238);71;(60);;;;;;;
95;(96);Sofie;132;(135);Tove;139;(185);91;(73);;;;;;;
96;(98);Viktoria;130;(131);Tuva ;360;(394);39;(32);;;;;;;
97;(89);Frida ;128;(147);Tyra ;361;(333);38;(44);;;;;;;
97;(100);Maria;128;(126);Vera ;404;(400);30;(31);;;;;;;
99;(100);Rut;127;(126);Viktoria;130;(131);96;(98);;;;;;;
100;(84);Evelina;126;(161);Vilda;146;(148);88;(88);;;;;;;
100;(Ny);Novalie;126;(121);Wilma;578;(657);11;(9);;;;;;;
