Flicknamn 2014;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2014.   ;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;
79;(78);Lykke;167;(173);Ronja ;155;(201);87;(70)
79;(85);Novalie;167;(157);Rut;159;(133);86;(93)
82;(88);Linn;164;(147);Saga ;504;(505);21;(19)
83;(75);Tindra ;163;(179);Sally;134;(126);96;(97)
84;(87);My ;162;(150);Sara;349;(332);35;(40)
85;(79);Mira ;160;(170);Selma ;389;(395);31;(30)
86;(93);Rut;159;(133);Signe ;427;(414);28;(28)
87;(70);Ronja ;155;(201);Sigrid ;281;(256);50;(56)
88;(89);Hilma ;154;(146);Siri ;285;(292);48;(49)
89;(86);Lisa ;149;(156);Sofia ;349;(314);35;(42)
89;(95);Maria;149;(127);Stella;552;(499);14;(22)
91;(81);Elina ;142;(162);Stina;184;(217);68;(65)
92;(Ny);Lovis;140;(118);Svea ;178;(218);72;(63)
92;(69);Minna ;140;(202);Thea ;232;(275);59;(55)
94;(84);Hedda;139;(160);Tilda;175;(194);74;(72)
95;(Ny);Amelia ;136;(106);Tilde ;250;(279);57;(53)
96;(97);Sally;134;(126);Tindra ;163;(179);83;(75)
97;(99);Nicole ;132;(122);Tuva ;300;(293);46;(48)
98;(95);Victoria;131;(127);Tyra ;330;(322);39;(41)
99;(Ny);Luna;130;(82);Vera ;431;(448);27;(25)
100;(94);Anna;129;(130);Victoria;131;(127);98;(95)
100;(Ny);Elisa;129;(86);Wilma ;576;(600);12;(10)
