Flicknamn 2011;;;;;;;;Innehåll;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2011.   ;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;
;;;;;;;;;
Rangordning;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;Antal bärare;;Rangordning;
58;(60);Edith;248;(248);Lova ;323;(372);46;(42)
59;(61);Liv ;246;(240);Lovisa;299;(336);52;(47)
60;(51);Tindra ;238;(307);Maja ;743;(895);2;(1)
61;(49);Tilda ;235;(308);Majken ;137;(136);94;(95)
62;(61);Stina;228;(240);Maria;126;(166);100;(83)
63;(55);Leia;215;(276);Matilda ;356;(433);39;(30)
64;(71);Märta ;212;(189);Meja;309;(359);50;(43)
65;(73);Ingrid;205;(182);Melissa ;186;(174);72;(80)
66;(67);Livia ;199;(210);Minna;311;(154);48;(90)
67;(66);Emmy ;198;(212);Mira ;164;(178);82;(77)
68;(70);Cornelia ;197;(198);Moa ;462;(542);23;(20)
68;(84);Iris ;197;(164);Molly ;675;(677);8;(11)
70;(68);Jasmine;196;(201);My ;185;(180);73;(74)
71;(98);Juni ;193;(130);Märta ;212;(189);64;(71)
72;(80);Melissa ;186;(174);Nathalie ;251;(282);56;(54)
73;(74);My ;185;(180);Nellie ;633;(592);11;(14)
73;(65);Tove;185;(218);Nicole;140;(142);92;(93)
75;(86);Elise;180;(161);Nora ;305;(290);51;(53)
76;(64);Linn ;179;(219);Nova ;474;(515);22;(22)
77;(63);Lisa ;177;(220);Olivia;578;(703);14;(10)
78;(72);Svea ;176;(183);Rebecca;152;(179);87;(75)
79;(75);Joline;172;(179);Ronja;170;(176);80;(78)
80;(78);Ronja;170;(176);Rut;126;(121);100;(Ny)
81;(87);Elina ;165;(160);Saga ;436;(490);27;(24)
82;(77);Mira ;164;(178);Sara;366;(404);36;(38)
83;(85);Josefin;163;(162);Selma ;365;(359);37;(43)
84;(81);Anna;161;(172);Signe ;362;(352);38;(45)
84;(69);Evelina;161;(199);Sigrid ;147;(126);89;(Ny)
86;(78);Hilda ;154;(176);Siri ;287;(262);54;(57)
87;(75);Rebecca;152;(179);Sofia ;310;(297);49;(52)
88;(89);Vilda;148;(158);Sofie;135;(135);96;(96)
89;(82);Frida ;147;(167);Stella ;459;(416);24;(33)
89;(91);Lina ;147;(150);Stina;228;(240);62;(61)
89;(Ny);Sigrid ;147;(126);Svea ;176;(183);78;(72)
92;(88);Greta;140;(159);Thea ;341;(380);43;(40)
92;(93);Nicole;140;(142);Tilda ;235;(308);61;(49)
94;(91);Hedda;137;(150);Tilde ;326;(431);45;(31)
94;(95);Majken ;137;(136);Tindra ;238;(307);60;(51)
96;(96);Sofie;135;(135);Tove;185;(218);73;(65)
97;(97);Annie ;133;(133);Tuva ;394;(431);32;(31)
98;(Ny);Victoria;131;(126);Tyra ;333;(409);44;(36)
99;(99);Hedvig ;128;(129);Vera ;400;(399);31;(39)
100;(Ny);Hilma ;126;(114);Victoria;131;(126);98;(Ny)
100;(83);Maria;126;(166);Vilda;148;(158);88;(89)
100;(Ny);Rut;126;(121);Wilma ;657;(742);9;(5)
