Flicknamn 2019;;;;;;;;Innehåll;;
Tabellen visar de 100 vanligaste tilltalsnamnen som getts till flickor 2019.   ;;;;;;;;;;
Namnen redovisas med den vanligaste stavningen,;;;;;;;;;;
men samtliga stavningar ingår i det redovisade antalet.;;;;;;;;;;
;;;;;;;;;;
Rangordning;;;;;;Bokstavsordning;;;;
;;;Antal bärare;;;;Antal bärare;;Rangordning;
58;(58);Maria;221;(224);;Lovis;155;(131);82;(98)
59;(54);Leia;218;(234);;Lovisa;200;(191);64;(71)
60;(56);Hailey;215;(225);;Luna;342;(334);30;(35)
61;(45);Tyra ;212;(272);;Lykke;253;(236);48;(53)
62;(46);Elin;211;(268);;Maja ;618;(657);4;(2)
63;(62);Amelia ;205;(213);;Majken ;222;(220);57;(59)
64;(71);Lovisa;200;(191);;Maria;221;(224);58;(58)
65;(85);Märta ;198;(156);;Mariam;134;(145);94;(93)
66;(74);Rut;196;(184);;Matilda;133;(166);95;(81)
67;(50);Ida;195;(239);;Meja;241;(211);52;(63)
67;(49);Ingrid;195;(242);;Melina;138;(151);92;(87)
69;(56);Bianca ;189;(225);;Melissa ;174;(179);76;(75)
69;(64);Hanna;189;(210);;Mila;313;(238);35;(51)
69;(65);Ronja;189;(209);;Millie;128;(91);98;(Ny)
72;(72);Jasmine;187;(187);;Mira;139;(148);89;(91)
73;(76);Stina ;185;(177);;Moa ;139;(187);89;(72)
74;(78);Svea ;181;(171);;Molly ;388;(437);27;(25)
75;(80);Cleo;178;(168);;My ;123;(150);99;(88)
76;(75);Melissa ;174;(179);;Märta ;198;(156);65;(85)
77;(82);Hilma;171;(162);;Nellie;310;(309);36;(38)
78;(94);Filippa ;169;(141);;Nora;322;(356);31;(31)
78;(90);Hedvig ;169;(149);;Nova ;322;(385);31;(28)
80;(77);Julie;161;(173);;Olivia;645;(581);2;(7)
81;(79);Tilde ;156;(170);;Ronja;189;(209);69;(65)
82;(98);Lovis;155;(131);;Rut;196;(184);66;(74)
83;(83);Siri;154;(158);;Saga;523;(547);14;(11)
84;(59);Felicia;145;(220);;Sally;227;(197);56;(69)
85;(95);Cornelia ;144;(140);;Sara;348;(347);29;(33)
85;(91);Elina ;144;(148);;Selma;489;(534);20;(16)
85;(96);Elsie;144;(136);;Signe ;511;(538);17;(15)
88;(70);Joline;141;(195);;Sigrid ;288;(350);43;(32)
89;(99);Hilda ;139;(130);;Siri;154;(158);83;(83)
89;(91);Mira;139;(148);;Sofia ;303;(285);37;(42)
89;(72);Moa ;139;(187);;Stella ;461;(543);22;(13)
92;(87);Melina;138;(151);;Stina ;185;(177);73;(76)
93;(Ny);Bonnie;135;(93);;Svea ;181;(171);74;(78)
94;(93);Mariam;134;(145);;Thea ;243;(207);51;(67)
95;(81);Matilda;133;(166);;Tilde ;156;(170);81;(79)
95;(Ny);Wilda;133;(122);;Tuva;237;(215);54;(61)
97;(Ny);Bella;132;(98);;Tyra ;212;(272);61;(45)
98;(Ny);Millie;128;(91);;Vera ;607;(517);5;(19)
99;(88);My ;123;(150);;Victoria;122;(120);100;(Ny)
100;(84);Amanda ;122;(157);;Wilda;133;(122);95;(Ny)
100;(Ny);Victoria;122;(120);;Wilma;574;(600);8;(5)
